timestamp,cpu_pct,mem_pct,req_per_sec,error_rate,is_anomaly,pred_anomaly,anomaly_score
2025-10-01 01:03:00,60.54,48.39,27.1,5.475,1,1,-0.16873218751269647
2025-10-01 01:14:00,66.38,48.93,115.5,5.96,1,1,-0.1631469295208049
2025-10-01 01:33:00,63.54,45.25,200.3,6.889,1,1,-0.15652847774860212
2025-10-01 01:38:00,51.6,50.57,260.6,4.605,1,1,-0.089325788558274
2025-10-01 03:32:00,62.95,50.4,187.7,3.723,1,1,-0.10512661262496814
2025-10-01 04:05:00,69.33,51.01,373.1,5.52,1,1,-0.14187837212288523
2025-10-01 04:54:00,70.8,51.13,248.3,5.515,1,1,-0.1461688417481185
2025-10-01 05:13:00,70.31,50.5,466.1,6.133,1,1,-0.18149502521807404
2025-10-01 05:20:00,73.93,58.09,146.2,7.279,1,1,-0.17576669464279782
2025-10-01 05:54:00,76.55,54.22,150.3,4.234,1,1,-0.14886286883964028
2025-10-01 06:05:00,85.66,56.14,184.1,5.038,1,1,-0.15124768007973877
2025-10-01 06:12:00,80.26,58.3,470.6,5.539,1,1,-0.17738956603112144
2025-10-01 06:49:00,78.6,50.71,352.5,6.202,1,1,-0.17526403491863052
2025-10-01 07:44:00,85.47,59.21,273.8,7.04,1,1,-0.1702369139540486
2025-10-01 08:01:00,89.55,59.37,243.2,6.969,1,1,-0.167883073398148
2025-10-01 08:42:00,74.89,58.27,403.1,3.841,1,1,-0.11525366522870695
2025-10-01 09:45:00,86.3,60.54,407.4,6.449,1,1,-0.14613048274331453
2025-10-01 09:48:00,85.45,62.01,368.6,7.972,1,1,-0.15564484738658946
2025-10-01 10:05:00,82.23,63.85,263.6,6.094,1,1,-0.15934647449295258
2025-10-01 11:28:00,85.1,66.23,437.8,7.977,1,1,-0.20039231418932846
2025-10-01 12:29:00,98.68,63.11,415.5,7.105,1,1,-0.1794759426027529
2025-10-01 12:42:00,60.01,63.38,462.8,0.282,0,1,-0.000711283033173804
2025-10-01 13:41:00,92.3,60.36,408.3,4.409,1,1,-0.14212025552990348
2025-10-01 13:43:00,55.68,66.43,439.4,0.388,0,1,-0.02647966529260337
2025-10-01 14:10:00,92.27,58.62,338.0,6.811,1,1,-0.15421316134918694
2025-10-01 14:11:00,82.85,62.01,517.1,4.594,1,1,-0.1763553341610815
2025-10-01 16:33:00,81.85,56.23,535.4,5.262,1,1,-0.18666047866951896
2025-10-01 18:23:00,80.46,54.49,125.3,4.194,1,1,-0.1586641004202063
2025-10-01 19:19:00,79.98,53.15,220.0,4.305,1,1,-0.1308995236883842
2025-10-01 19:59:00,79.94,57.56,158.4,7.297,1,1,-0.17594634756241245
2025-10-01 21:57:00,69.81,50.97,78.8,5.309,1,1,-0.1732476917249427
2025-10-01 22:11:00,61.02,46.68,293.3,3.94,1,1,-0.1151779591883324
2025-10-01 23:07:00,64.16,47.38,224.4,4.358,1,1,-0.11682894730241544
2025-10-01 23:35:00,17.79,44.4,191.1,0.087,0,1,-0.020716678482452178
2025-10-01 23:51:00,65.86,49.12,195.3,6.925,1,1,-0.14505540456320376
2025-10-02 02:17:00,64.17,44.07,333.3,5.593,1,1,-0.1672172256985145
2025-10-02 03:07:00,61.92,47.13,110.6,8.016,1,1,-0.17515821204545912
2025-10-02 03:45:00,62.83,47.64,135.8,4.944,1,1,-0.15361511012953966
2025-10-02 05:26:00,74.13,56.06,281.7,5.502,1,1,-0.140773341355924
2025-10-02 05:43:00,77.78,52.94,338.1,7.227,1,1,-0.17385439509707445
2025-10-02 05:56:00,74.73,53.05,361.3,5.823,1,1,-0.15256487467851
2025-10-02 06:06:00,80.37,53.53,251.0,6.249,1,1,-0.15104664423933079
2025-10-02 08:20:00,82.32,61.76,270.6,6.969,1,1,-0.1696443422557773
2025-10-02 08:21:00,82.03,58.9,403.0,4.022,1,1,-0.1273564293551438
2025-10-02 10:10:00,82.97,61.47,430.5,5.266,1,1,-0.1558514627777039
2025-10-02 11:20:00,99.8,57.93,416.7,3.73,1,1,-0.14946323496818026
2025-10-02 11:33:00,80.77,60.43,286.7,7.79,1,1,-0.1683695874702693
