timestamp,cpu_pct,mem_pct,req_per_sec,error_rate,is_anomaly
2025-10-01T00:00:00,24.23,48.02,175.5,0.184,0
2025-10-01T00:01:00,24.31,47.52,174.5,0.199,0
2025-10-01T00:02:00,26.18,47.37,146.7,0.243,0
2025-10-01T00:03:00,25.71,49.77,204.8,0.179,0
2025-10-01T00:04:00,25.92,46.91,190.4,0.168,0
2025-10-01T00:05:00,26.9,48.16,185.1,0.171,0
2025-10-01T00:06:00,23.14,45.52,173.1,0.195,0
2025-10-01T00:07:00,26.24,49.91,164.4,0.219,0
2025-10-01T00:08:00,22.58,47.49,188.5,0.126,0
2025-10-01T00:09:00,21.73,45.9,202.9,0.143,0
2025-10-01T00:10:00,26.49,46.88,150.7,0.241,0
2025-10-01T00:11:00,24.15,47.04,163.3,0.126,0
2025-10-01T00:12:00,26.85,45.78,170.9,0.137,0
2025-10-01T00:13:00,19.47,48.04,201.3,0.181,0
2025-10-01T00:14:00,29.33,48.16,142.0,0.074,0
2025-10-01T00:15:00,24.36,48.93,177.9,0.191,0
2025-10-01T00:16:00,25.74,47.87,211.9,0.231,0
2025-10-01T00:17:00,25.04,48.99,185.7,0.185,0
2025-10-01T00:18:00,19.08,45.73,196.8,0.109,0
2025-10-01T00:19:00,22.56,47.96,217.6,0.116,0
2025-10-01T00:20:00,25.97,48.3,182.4,0.257,0
2025-10-01T00:21:00,24.98,47.18,163.2,0.223,0
2025-10-01T00:22:00,29.4,46.11,152.4,0.193,0
2025-10-01T00:23:00,31.06,48.43,187.6,0.1,0
2025-10-01T00:24:00,22.64,48.26,202.6,0.243,0
2025-10-01T00:25:00,26.87,47.56,189.5,0.239,0
2025-10-01T00:26:00,26.72,47.0,195.3,0.228,0
2025-10-01T00:27:00,27.91,45.04,189.1,0.231,0
2025-10-01T00:28:00,23.99,47.77,216.7,0.072,0
2025-10-01T00:29:00,23.74,47.09,194.7,0.227,0
2025-10-01T00:30:00,25.85,45.96,228.6,0.218,0
2025-10-01T00:31:00,27.27,48.99,204.2,0.21,0
2025-10-01T00:32:00,28.03,44.66,178.7,0.248,0
2025-10-01T00:33:00,25.51,44.56,183.2,0.156,0
2025-10-01T00:34:00,28.28,41.63,201.8,0.128,0
2025-10-01T00:35:00,24.86,45.57,161.4,0.195,0
2025-10-01T00:36:00,27.39,47.28,178.2,0.277,0
2025-10-01T00:37:00,18.33,48.53,229.7,0.191,0
2025-10-01T00:38:00,25.4,48.41,184.4,0.232,0
2025-10-01T00:39:00,29.66,44.75,151.1,0.209,0
2025-10-01T00:40:00,28.8,48.49,209.5,0.153,0
2025-10-01T00:41:00,23.14,47.17,184.4,0.156,0
2025-10-01T00:42:00,27.96,46.64,140.6,0.27,0
2025-10-01T00:43:00,25.75,47.91,205.2,0.288,0
2025-10-01T00:44:00,28.41,49.97,209.0,0.191,0
2025-10-01T00:45:00,23.48,46.68,233.0,0.212,0
2025-10-01T00:46:00,18.11,46.23,142.9,0.241,0
2025-10-01T00:47:00,25.55,48.48,176.0,0.236,0
2025-10-01T00:48:00,24.82,49.08,209.8,0.28,0
2025-10-01T00:49:00,21.17,47.69,197.2,0.17,0
2025-10-01T00:50:00,21.3,46.97,176.2,0.199,0
2025-10-01T00:51:00,25.11,47.16,183.7,0.171,0
2025-10-01T00:52:00,24.41,44.48,168.9,0.254,0
2025-10-01T00:53:00,25.3,46.07,166.0,0.186,0
2025-10-01T00:54:00,25.5,44.64,148.7,0.168,0
2025-10-01T00:55:00,21.13,47.96,156.1,0.198,0
2025-10-01T00:56:00,21.46,47.73,132.8,0.216,0
2025-10-01T00:57:00,30.11,43.66,178.5,0.264,0
2025-10-01T00:58:00,25.87,46.08,195.6,0.237,0
2025-10-01T00:59:00,25.07,47.78,163.0,0.123,0
2025-10-01T01:00:00,28.2,49.89,178.2,0.177,0
2025-10-01T01:01:00,27.58,46.99,203.4,0.185,0
2025-10-01T01:02:00,31.17,47.03,195.3,0.245,0
2025-10-01T01:03:00,60.54,48.39,27.1,5.475,1
2025-10-01T01:04:00,23.46,49.71,176.8,0.199,0
2025-10-01T01:05:00,27.42,42.09,196.5,0.224,0
2025-10-01T01:06:00,25.94,45.71,198.5,0.238,0
2025-10-01T01:07:00,26.49,45.87,210.6,0.29,0
2025-10-01T01:08:00,25.11,46.45,212.7,0.227,0
2025-10-01T01:09:00,31.87,49.35,160.2,0.133,0
2025-10-01T01:10:00,26.2,46.69,198.4,0.158,0
2025-10-01T01:11:00,19.03,45.78,182.9,0.226,0
2025-10-01T01:12:00,25.62,48.23,187.5,0.214,0
2025-10-01T01:13:00,24.54,48.85,185.1,0.159,0
2025-10-01T01:14:00,66.38,48.93,115.5,5.96,1
2025-10-01T01:15:00,18.59,48.01,213.1,0.257,0
2025-10-01T01:16:00,19.82,47.39,165.5,0.237,0
2025-10-01T01:17:00,28.24,47.07,199.6,0.132,0
2025-10-01T01:18:00,23.22,48.31,194.0,0.209,0
2025-10-01T01:19:00,25.38,45.74,188.4,0.218,0
2025-10-01T01:20:00,28.58,45.11,181.1,0.236,0
2025-10-01T01:21:00,23.81,47.57,169.4,0.213,0
2025-10-01T01:22:00,29.23,46.84,185.9,0.33,0
2025-10-01T01:23:00,25.42,47.35,167.4,0.238,0
2025-10-01T01:24:00,26.59,49.53,199.7,0.201,0
2025-10-01T01:25:00,24.8,47.62,201.0,0.206,0
2025-10-01T01:26:00,22.35,46.02,184.2,0.127,0
2025-10-01T01:27:00,27.67,45.9,157.5,0.328,0
2025-10-01T01:28:00,24.81,44.44,220.6,0.226,0
2025-10-01T01:29:00,22.11,44.94,188.3,0.175,0
2025-10-01T01:30:00,19.82,47.17,196.7,0.112,0
2025-10-01T01:31:00,29.07,45.38,179.0,0.166,0
2025-10-01T01:32:00,27.41,48.68,214.1,0.258,0
2025-10-01T01:33:00,63.54,45.25,200.3,6.889,1
2025-10-01T01:34:00,21.22,46.63,214.0,0.233,0
2025-10-01T01:35:00,27.61,47.98,182.3,0.166,0
2025-10-01T01:36:00,28.97,46.92,167.2,0.238,0
2025-10-01T01:37:00,25.95,44.52,179.1,0.184,0
2025-10-01T01:38:00,51.6,50.57,260.6,4.605,1
2025-10-01T01:39:00,23.91,44.47,178.0,0.258,0
2025-10-01T01:40:00,24.04,47.48,194.6,0.179,0
2025-10-01T01:41:00,26.03,47.13,148.3,0.224,0
2025-10-01T01:42:00,23.26,47.77,196.1,0.317,0
2025-10-01T01:43:00,24.07,46.73,135.2,0.181,0
2025-10-01T01:44:00,27.04,45.12,207.7,0.149,0
2025-10-01T01:45:00,28.28,45.89,185.8,0.201,0
2025-10-01T01:46:00,23.09,47.79,195.7,0.236,0
2025-10-01T01:47:00,25.61,47.17,184.3,0.104,0
2025-10-01T01:48:00,29.75,45.86,197.6,0.176,0
2025-10-01T01:49:00,16.91,51.84,168.1,0.175,0
2025-10-01T01:50:00,25.36,47.89,214.5,0.257,0
2025-10-01T01:51:00,27.6,46.68,181.7,0.26,0
2025-10-01T01:52:00,20.26,50.85,211.4,0.139,0
2025-10-01T01:53:00,31.61,44.81,153.7,0.176,0
2025-10-01T01:54:00,25.15,45.1,184.6,0.128,0
2025-10-01T01:55:00,32.05,48.66,199.8,0.241,0
2025-10-01T01:56:00,24.06,50.4,199.4,0.194,0
2025-10-01T01:57:00,24.31,49.7,174.6,0.219,0
2025-10-01T01:58:00,27.22,51.47,170.0,0.201,0
2025-10-01T01:59:00,28.79,47.22,192.4,0.225,0
2025-10-01T02:00:00,26.29,48.8,197.1,0.239,0
2025-10-01T02:01:00,30.8,45.91,178.4,0.227,0
2025-10-01T02:02:00,25.06,49.34,211.0,0.215,0
2025-10-01T02:03:00,29.51,49.75,168.7,0.128,0
2025-10-01T02:04:00,26.71,49.57,178.5,0.232,0
2025-10-01T02:05:00,30.55,44.77,201.1,0.202,0
2025-10-01T02:06:00,29.7,46.69,195.8,0.2,0
2025-10-01T02:07:00,32.03,46.41,229.0,0.094,0
2025-10-01T02:08:00,28.35,48.8,166.1,0.189,0
2025-10-01T02:09:00,26.24,45.23,198.1,0.145,0
2025-10-01T02:10:00,32.09,48.93,201.0,0.312,0
2025-10-01T02:11:00,26.49,49.06,195.8,0.271,0
2025-10-01T02:12:00,27.88,48.57,169.9,0.19,0
2025-10-01T02:13:00,27.68,50.75,213.0,0.203,0
2025-10-01T02:14:00,31.18,47.34,213.0,0.162,0
2025-10-01T02:15:00,27.15,53.16,191.3,0.159,0
2025-10-01T02:16:00,22.52,48.1,182.6,0.219,0
2025-10-01T02:17:00,28.93,47.42,213.8,0.21,0
